"年度","地区","国家","服务分类","各国销售额","销售增长率","各国利润","利润增长率"
"2017","Eastern","Burundi","Commercial",928.07,0,74.25,0
"2018","Eastern","Burundi","Commercial",0,-1,0,1
"2019","Eastern","Burundi","Commercial",118.96,0,-2.38,0
"2020","Eastern","Burundi","Commercial",181.34,0.524377942165434,-12.69,-4.33193277310924
"2017","Eastern","Burundi","Public",1052.36,0,-3.46,0
"2018","Eastern","Burundi","Public",757.23,-0.280445855030598,0,1
"2019","Eastern","Burundi","Public",865.69,0.143232571345562,51.94,0
"2020","Eastern","Burundi","Public",1044.73,0.206817683004309,-21.52,1.41432422025414
"2017","Eastern","Burundi","Residential",0,0,0,0
"2018","Eastern","Burundi","Residential",1466.48,0,-24.97,0
"2019","Eastern","Burundi","Residential",1646.5,0.12275653264961,47.87,2.91710052062475
"2020","Eastern","Burundi","Residential",326.34,-0.801797752808989,32.63,0.318362231042406
"2017","Eastern","Djibouti","Commercial",885.22,0,-26.56,0
"2018","Eastern","Djibouti","Commercial",0,-1,0,1
"2019","Eastern","Djibouti","Commercial",0,0,0,0
"2020","Eastern","Djibouti","Commercial",377.25,0,-7.55,0
"2017","Eastern","Djibouti","Public",0,0,0,0
"2018","Eastern","Djibouti","Public",0,0,0,0
"2019","Eastern","Djibouti","Public",1747.89,0,-13.97,0
"2020","Eastern","Djibouti","Public",1325.03,-0.241925979323642,35.09,3.51181102362205
"2017","Eastern","Djibouti","Residential",2119.85,0,13.9,0
"2018","Eastern","Djibouti","Residential",1929.17,-0.0899497605962686,13.94,-0.00287769784172681
"2019","Eastern","Djibouti","Residential",952.85,-0.506082926854554,-28.59,3.05093256814921
"2020","Eastern","Djibouti","Residential",0,-1,0,1
"2017","Eastern","Eritrea","Commercial",791.98,0,7.92,0
"2018","Eastern","Eritrea","Commercial",1960.37,1.47527715346347,90.48,-10.4242424242424
"2019","Eastern","Eritrea","Commercial",632.31,-0.677453745976525,53.13,0.412798408488064
"2020","Eastern","Eritrea","Commercial",1747.98,1.76443516629501,-33.23,1.62544701675136
"2017","Eastern","Eritrea","Public",196.57,0,13.76,0
"2018","Eastern","Eritrea","Public",0,-1,0,1
"2019","Eastern","Eritrea","Public",326.44,0,26.12,0
"2020","Eastern","Eritrea","Public",845.23,1.58923538782012,-50.71,2.94142419601838
"2017","Eastern","Eritrea","Residential",1012.65,0,-35.84,0
"2018","Eastern","Eritrea","Residential",699.51,-0.309228262479633,-7,0.8046875
"2019","Eastern","Eritrea","Residential",199.16,-0.715286414776058,3.98,1.56857142857143
"2020","Eastern","Eritrea","Residential",310.64,0.559750954006829,3.11,0.218592964824121
"2017","Eastern","Ethiopia","Commercial",600.36,0,6,0
"2018","Eastern","Ethiopia","Commercial",1799.79,1.99785128922646,140.11,-22.3516666666667
"2019","Eastern","Ethiopia","Commercial",1519.17,-0.155918190455553,67.59,0.517593319534651
"2020","Eastern","Ethiopia","Commercial",1522.89,0.00244870554315845,-6.5,1.09616807220003
"2017","Eastern","Ethiopia","Public",404.76,0,-22.47,0
"2018","Eastern","Ethiopia","Public",751.02,0.855469908093685,-15.02,0.331553182020472
"2019","Eastern","Ethiopia","Public",0,-1,0,1
"2020","Eastern","Ethiopia","Public",335.74,0,16.79,0
"2017","Eastern","Ethiopia","Residential",509.93,0,10.2,0
"2018","Eastern","Ethiopia","Residential",0,-1,0,1
"2019","Eastern","Ethiopia","Residential",447.81,0,4.48,0
"2020","Eastern","Ethiopia","Residential",302.99,-0.323396083160269,9.09,-1.02901785714286
"2017","Eastern","Kenya","Commercial",0,0,0,0
"2018","Eastern","Kenya","Commercial",0,0,0,0
"2019","Eastern","Kenya","Commercial",759.18,0,-15.18,0
"2020","Eastern","Kenya","Commercial",0,-1,0,1
"2017","Eastern","Kenya","Public",341.57,0,-10.25,0
"2018","Eastern","Kenya","Public",1409.44,3.12635770120327,-0.210000000000002,0.979512195121951
"2019","Eastern","Kenya","Public",344.77,-0.755385117493473,-13.79,-64.6666666666661
"2020","Eastern","Kenya","Public",1351.21,2.91916350030455,6.2,1.44960116026106
"2017","Eastern","Kenya","Residential",1968.5,0,-19.93,0
"2018","Eastern","Kenya","Residential",391.21,-0.801264922529845,-23.47,-0.177621675865529
"2019","Eastern","Kenya","Residential",1188.39,2.03772909690448,42.65,2.81721346399659
"2020","Eastern","Kenya","Residential",914.44,-0.230521966694435,12.8,0.699882766705744
"2017","Eastern","Madagascar","Commercial",157.77,0,-4.73,0
"2018","Eastern","Madagascar","Commercial",0,-1,0,1
"2019","Eastern","Madagascar","Commercial",1138.96,0,104.43,0
"2020","Eastern","Madagascar","Commercial",600.21,-0.47301924562759,-6,1.05745475438092
"2017","Eastern","Madagascar","Public",875.94,0,-70.08,0
"2018","Eastern","Madagascar","Public",1752.36,1.00054798273854,-97.23,-0.387414383561644
"2019","Eastern","Madagascar","Public",1116.92,-0.362619553059874,-4.47,0.954026535020056
"2020","Eastern","Madagascar","Public",335.21,-0.699880027217706,-10.06,-1.25055928411633
"2017","Eastern","Madagascar","Residential",1735.3,0,22.17,0
"2018","Eastern","Madagascar","Residential",924.49,-0.467244856797096,38.81,-0.750563824988723
"2019","Eastern","Madagascar","Residential",0,-1,0,1
"2020","Eastern","Madagascar","Residential",341.96,0,30.27,0
"2017","Eastern","Malawi","Commercial",956.18,0,43.44,0
"2018","Eastern","Malawi","Commercial",2425.37,1.53652032044176,135.01,-2.1079650092081
"2019","Eastern","Malawi","Commercial",1276.61,-0.473643196708131,6.57,0.951336938004592
"2020","Eastern","Malawi","Commercial",840.7,-0.341459020374273,4.17,0.365296803652968
"2017","Eastern","Malawi","Public",958.49,0,-60.7,0
"2018","Eastern","Malawi","Public",753.87,-0.213481622134816,-37.69,0.379077429983526
"2019","Eastern","Malawi","Public",1562.11,1.07212118800324,91.51,3.4279649774476
"2020","Eastern","Malawi","Public",1117.39,-0.284691859088028,-30.5,1.33329690744181
"2017","Eastern","Malawi","Residential",2348.27,0,71.65,0
"2018","Eastern","Malawi","Residential",2257.24,-0.0387647076358339,8.97,0.874808094905792
"2019","Eastern","Malawi","Residential",897.9,-0.602213322464603,8.78,0.0211817168338907
"2020","Eastern","Malawi","Residential",1780.74,0.983227530905446,78.97,-7.99430523917995
"2017","Eastern","Mauritius","Commercial",512.94,0,25.65,0
"2018","Eastern","Mauritius","Commercial",708.1,0.380473349709518,27.1,-0.0565302144249514
"2019","Eastern","Mauritius","Commercial",387.66,-0.452534952690298,-23.26,1.85830258302583
"2020","Eastern","Mauritius","Commercial",660.96,0.704999226125987,18.54,1.79707652622528
"2017","Eastern","Mauritius","Public",1608.48,0,-51.6,0
"2018","Eastern","Mauritius","Public",0,-1,0,1
"2019","Eastern","Mauritius","Public",486.07,0,14.32,0
"2020","Eastern","Mauritius","Public",859.44,0.768140391301665,68.76,-3.80167597765363
"2017","Eastern","Mauritius","Residential",0,0,0,0
"2018","Eastern","Mauritius","Residential",442.97,0,44.3,0
"2019","Eastern","Mauritius","Residential",0,-1,0,1
"2020","Eastern","Mauritius","Residential",0,0,0,0
"2017","Eastern","Mozambique","Commercial",0,0,0,0
"2018","Eastern","Mozambique","Commercial",393.33,0,35.4,0
"2019","Eastern","Mozambique","Commercial",1932.47,3.9131009584827,-59.67,2.68559322033898
"2020","Eastern","Mozambique","Commercial",806.47,-0.582673987177032,80.65,2.35160046924753
"2017","Eastern","Mozambique","Public",540.73,0,24.81,0
"2018","Eastern","Mozambique","Public",1737.28,2.21284189891443,23.38,0.0576380491737203
"2019","Eastern","Mozambique","Public",783.49,-0.549013400257874,0,1
"2020","Eastern","Mozambique","Public",722.64,-0.0776653180002296,-5.56,0
"2017","Eastern","Mozambique","Residential",1108.79,0,-9.94,0
"2018","Eastern","Mozambique","Residential",0,-1,0,1
"2019","Eastern","Mozambique","Residential",549.94,0,38.5,0
"2020","Eastern","Mozambique","Residential",932.67,0.695948648943521,18.65,0.515584415584416
"2017","Eastern","Rwanda","Commercial",322.84,0,-9.69,0
"2018","Eastern","Rwanda","Commercial",0,-1,0,1
"2019","Eastern","Rwanda","Commercial",1106.6,0,11.06,0
"2020","Eastern","Rwanda","Commercial",895.24,-0.190999457798663,-71.62,7.4755877034358
"2017","Eastern","Rwanda","Public",1259.25,0,27.52,0
"2018","Eastern","Rwanda","Public",1081.68,-0.141012507444908,49.59,-0.801962209302326
"2019","Eastern","Rwanda","Public",472.24,-0.563419865394571,-37.78,1.76184714660214
"2020","Eastern","Rwanda","Public",1018,1.15568355073691,58.29,2.5428798305982
"2017","Eastern","Rwanda","Residential",0,0,0,0
"2018","Eastern","Rwanda","Residential",1332.8,0,-41.07,0
"2019","Eastern","Rwanda","Residential",543.44,-0.592256902761104,32.61,1.79401022644266
"2020","Eastern","Rwanda","Residential",0,-1,0,1
"2017","Eastern","Seychelles","Commercial",0,0,0,0
"2018","Eastern","Seychelles","Commercial",1102.22,0,-24.77,0
"2019","Eastern","Seychelles","Commercial",1233.59,0.119186732231315,-85.49,-2.45135244247073
"2020","Eastern","Seychelles","Commercial",355.34,-0.711946432769397,33.65,1.39361328810387
"2017","Eastern","Seychelles","Public",1493.29,0,-23.07,0
"2018","Eastern","Seychelles","Public",260.78,-0.82536546819439,-5.46,0.76332899869961
"2019","Eastern","Seychelles","Public",0,-1,0,1
"2020","Eastern","Seychelles","Public",133.74,0,12.04,0
"2017","Eastern","Seychelles","Residential",130.9,0,-6.14,0
"2018","Eastern","Seychelles","Residential",0,-1,0,1
"2019","Eastern","Seychelles","Residential",733.04,0,-30.9,0
"2020","Eastern","Seychelles","Residential",460.12,-0.372312561388192,-13.8,0.553398058252427
"2017","Eastern","Somalia","Commercial",1342.12,0,46.7,0
"2018","Eastern","Somalia","Commercial",328.62,-0.755148570917653,32.86,0.296359743040685
"2019","Eastern","Somalia","Commercial",1428.33,3.34644878583166,81.27,-1.47321972002435
"2020","Eastern","Somalia","Commercial",378.25,-0.735180245461483,37.82,0.534637627660883
"2017","Eastern","Somalia","Public",977.28,0,-9.77,0
"2018","Eastern","Somalia","Public",947.2,-0.0307793058284217,47.36,5.8474923234391
"2019","Eastern","Somalia","Public",799.28,-0.156165540540541,-17.17,1.36254222972973
"2020","Eastern","Somalia","Public",858.02,0.0734911420278251,77.22,5.49737914967967
"2017","Eastern","Somalia","Residential",320.9,0,-19.25,0
"2018","Eastern","Somalia","Residential",545.06,0.698535369273917,38.74,3.01246753246753
"2019","Eastern","Somalia","Residential",0,-1,0,1
"2020","Eastern","Somalia","Residential",307.81,0,-6.16,0
"2017","Eastern","South Sudan","Commercial",0,0,0,0
"2018","Eastern","South Sudan","Commercial",0,0,0,0
"2019","Eastern","South Sudan","Commercial",619.94,0,-49.6,0
"2020","Eastern","South Sudan","Commercial",0,-1,0,1
"2017","Eastern","South Sudan","Public",969.48,0,-59.83,0
"2018","Eastern","South Sudan","Public",0,-1,0,1
"2019","Eastern","South Sudan","Public",1088.7,0,-16.06,0
"2020","Eastern","South Sudan","Public",1339.76,0.230605309084229,2.52,1.15691158156912
"2017","Eastern","South Sudan","Residential",372.63,0,-22.36,0
"2018","Eastern","South Sudan","Residential",2214.43,4.9427045594826,129.71,6.80098389982111
"2019","Eastern","South Sudan","Residential",720.2,-0.674769579530624,-21.61,1.16660242078483
"2020","Eastern","South Sudan","Residential",439.54,-0.389697306303805,24.42,2.13003239241092
"2017","Eastern","Uganda","Commercial",284.57,0,2.85,0
"2018","Eastern","Uganda","Commercial",239.4,-0.158730716519661,-9.58,4.36140350877193
"2019","Eastern","Uganda","Commercial",830.39,2.46862990810359,-41.52,-3.33402922755741
"2020","Eastern","Uganda","Commercial",0,-1,0,1
"2017","Eastern","Uganda","Public",817.49,0,-48.58,0
"2018","Eastern","Uganda","Public",202.35,-0.75247403637965,14.16,1.29147797447509
"2019","Eastern","Uganda","Public",455.3,1.25006177415369,-18.21,2.28601694915254
"2020","Eastern","Uganda","Public",680.17,0.49389413573468,68.02,4.73531026908292
"2017","Eastern","Uganda","Residential",983.55,0,19.67,0
"2018","Eastern","Uganda","Residential",1330.8,0.353057800823548,25.27,-0.284697508896797
"2019","Eastern","Uganda","Residential",615.11,-0.537789299669372,24.47,0.0316580925999207
