"地区","国家","服务分类","销售额预测","利润预测"
"Eastern","Burundi","Commercial",0,0
"Eastern","Burundi","Public",77.5002,0
"Eastern","Burundi","Residential",71.6525,0
"Eastern","Djibouti","Commercial",0,0
"Eastern","Djibouti","Public",44.9112,11.7784
"Eastern","Djibouti","Residential",47.9564,0
"Eastern","Eritrea","Commercial",66.3272,-2.0249
"Eastern","Eritrea","Public",28.505,0
"Eastern","Eritrea","Residential",46.2908,0
"Eastern","Ethiopia","Commercial",113.3794,4.3167
"Eastern","Ethiopia","Public",132.8016,16.728
"Eastern","Ethiopia","Residential",26.2652,0.4952
"Eastern","Kenya","Commercial",0,0
"Eastern","Kenya","Public",71.8123,0
"Eastern","Kenya","Residential",92.9696,0
"Eastern","Madagascar","Commercial",39.5196,0
"Eastern","Madagascar","Public",85.009,-5.3551
"Eastern","Madagascar","Residential",62.5365,0
"Eastern","Malawi","Commercial",114.5596,4.9927
"Eastern","Malawi","Public",120.1257,0
"Eastern","Malawi","Residential",210.1141,8.9279
"Eastern","Mauritius","Commercial",47.2846,0
"Eastern","Mauritius","Public",61.5415,0
"Eastern","Mauritius","Residential",0,0
"Eastern","Mozambique","Commercial",65.2556,0
"Eastern","Mozambique","Public",78.8363,0
"Eastern","Mozambique","Residential",399.0129,6.5309
"Eastern","Rwanda","Commercial",48.4308,0
"Eastern","Rwanda","Public",1.2604,0
"Eastern","Rwanda","Residential",-34.2428,0
"Eastern","Seychelles","Commercial",56.0656,0
"Eastern","Seychelles","Public",0,0
"Eastern","Seychelles","Residential",27.5846,0
"Eastern","Somalia","Commercial",72.4442,4.1385
"Eastern","Somalia","Public",74.6204,0
"Eastern","Somalia","Residential",24.4535,0
"Eastern","South Sudan","Commercial",0,0
"Eastern","South Sudan","Public",70.7904,0
"Eastern","South Sudan","Residential",78.0583,0
"Eastern","Uganda","Commercial",28.2158,0
"Eastern","Uganda","Public",32.2804,0
"Eastern","Uganda","Residential",98.5858,0
"Eastern","United Republic of Tanzania","Commercial",20.2732,0
"Eastern","United Republic of Tanzania","Public",0,0
"Eastern","United Republic of Tanzania","Residential",40.3741,0
"Eastern","Zambia","Commercial",44.4456,0
"Eastern","Zambia","Public",48.2931,0
"Eastern","Zambia","Residential",58.3167,0
"Eastern","Zimbabwe","Commercial",73.9088,0
"Eastern","Zimbabwe","Public",36.1262,0
"Eastern","Zimbabwe","Residential",62.5342,0
"Middle","Angola","Commercial",57.0958,0
"Middle","Angola","Public",36.0967,0
"Middle","Angola","Residential",33.4969,0
"Middle","Cameroon","Commercial",279.9453,0
"Middle","Cameroon","Public",375.3793,0
"Middle","Cameroon","Residential",39.7468,0
"Middle","Central African Republic","Commercial",42.0929,1.2823
"Middle","Central African Republic","Public",26.1875,0
"Middle","Central African Republic","Residential",101.5258,0
"Middle","Chad","Commercial",-4.8719,0
"Middle","Chad","Public",39.1925,0
"Middle","Chad","Residential",11.3106,0.8528
"Middle","Congo","Commercial",-182.5746,0
"Middle","Congo","Public",0,0
"Middle","Congo","Residential",92.9602,-3.8972
"Middle","Democratic Republic of the Congo","Commercial",216.0062,20.8435
"Middle","Democratic Republic of the Congo","Public",51.0182,0
"Middle","Democratic Republic of the Congo","Residential",139.4775,0
"Middle","Equatorial Guinea","Commercial",69.4727,0
"Middle","Equatorial Guinea","Public",32.5256,0
"Middle","Equatorial Guinea","Residential",71.5852,1.9115
"Middle","Gabon","Commercial",73.0544,0
"Middle","Gabon","Public",44.5252,0
"Middle","Gabon","Residential",72.0558,0
"Middle","Sao Tome and Principe","Commercial",50.3966,0.0878
"Middle","Sao Tome and Principe","Public",38.5356,0
"Middle","Sao Tome and Principe","Residential",68.6804,0
"Northern","Algeria","Commercial",0,0
"Northern","Algeria","Public",33.2935,0
"Northern","Algeria","Residential",73.4335,0
